population	height_band_16	slope_band_0_10_25_40_55_90	block	count
side_north	4	-1	minecraft:moss_block	50
side_north	4	-1	minecraft:mud	238
side_north	4	-1	minecraft:pale_moss_block	684
side_north	4	-1	minecraft:pale_oak_wood	85
side_north	4	-1	minecraft:smooth_basalt	181
side_north	4	-1	minecraft:snow_block	2
side_north	4	-1	minecraft:stone	572
side_north	4	-1	minecraft:tuff	30
side_north	5	-1	minecraft:acacia_wood	473
side_north	5	-1	minecraft:andesite	1
side_north	5	-1	minecraft:basalt	106
side_north	5	-1	minecraft:black_wool	3
side_north	5	-1	minecraft:blackstone	32
side_north	5	-1	minecraft:coal_ore	1
side_north	5	-1	minecraft:cobblestone	26
side_north	5	-1	minecraft:cyan_terracotta	405
side_north	5	-1	minecraft:diorite	2
side_north	5	-1	minecraft:dirt	7
side_north	5	-1	minecraft:grass_block	21
side_north	5	-1	minecraft:gravel	1
side_north	5	-1	minecraft:gray_wool	43
side_north	5	-1	minecraft:light_gray_wool	27
side_north	5	-1	minecraft:moss_block	43
side_north	5	-1	minecraft:mud	265
side_north	5	-1	minecraft:pale_moss_block	498
side_north	5	-1	minecraft:pale_oak_wood	159
side_north	5	-1	minecraft:smooth_basalt	97
side_north	5	-1	minecraft:snow_block	52
side_north	5	-1	minecraft:stone	801
side_north	5	-1	minecraft:tuff	25
side_north	5	-1	minecraft:white_concrete	16
side_north	6	-1	minecraft:acacia_wood	569
side_north	6	-1	minecraft:andesite	10
side_north	6	-1	minecraft:basalt	139
side_north	6	-1	minecraft:birch_wood	7
side_north	6	-1	minecraft:black_wool	5
side_north	6	-1	minecraft:blackstone	38
side_north	6	-1	minecraft:cobblestone	59
side_north	6	-1	minecraft:cyan_terracotta	558
side_north	6	-1	minecraft:diorite	18
side_north	6	-1	minecraft:gray_wool	2
side_north	6	-1	minecraft:iron_ore	1
side_north	6	-1	minecraft:light_gray_wool	26
side_north	6	-1	minecraft:moss_block	95
side_north	6	-1	minecraft:mud	324
side_north	6	-1	minecraft:pale_moss_block	659
side_north	6	-1	minecraft:pale_oak_wood	111
side_north	6	-1	minecraft:smooth_basalt	84
side_north	6	-1	minecraft:snow_block	123
side_north	6	-1	minecraft:stone	717
side_north	6	-1	minecraft:tuff	25
side_north	6	-1	minecraft:white_concrete	2
side_north	7	-1	minecraft:acacia_wood	616
side_north	7	-1	minecraft:andesite	14
side_north	7	-1	minecraft:basalt	106
side_north	7	-1	minecraft:birch_wood	1
side_north	7	-1	minecraft:blackstone	26
side_north	7	-1	minecraft:cobblestone	64
side_north	7	-1	minecraft:cyan_terracotta	315
side_north	7	-1	minecraft:diorite	8
side_north	7	-1	minecraft:light_gray_terracotta	2
side_north	7	-1	minecraft:light_gray_wool	32
side_north	7	-1	minecraft:moss_block	34
side_north	7	-1	minecraft:mud	343
side_north	7	-1	minecraft:pale_moss_block	456
side_north	7	-1	minecraft:pale_oak_wood	160
side_north	7	-1	minecraft:smooth_basalt	22
side_north	7	-1	minecraft:snow_block	91
side_north	7	-1	minecraft:stone	487
side_north	7	-1	minecraft:tuff	8
side_north	8	-1	minecraft:acacia_wood	612
side_north	8	-1	minecraft:andesite	35
side_north	8	-1	minecraft:basalt	51
side_north	8	-1	minecraft:birch_wood	18
side_north	8	-1	minecraft:blackstone	13
side_north	8	-1	minecraft:coarse_dirt	9
side_north	8	-1	minecraft:cobblestone	59
side_north	8	-1	minecraft:cyan_terracotta	340
side_north	8	-1	minecraft:diorite	27
side_north	8	-1	minecraft:dripstone_block	15
side_north	8	-1	minecraft:light_gray_terracotta	6
side_north	8	-1	minecraft:light_gray_wool	56
side_north	8	-1	minecraft:moss_block	3
side_north	8	-1	minecraft:mud	313
side_north	8	-1	minecraft:packed_ice	2
side_north	8	-1	minecraft:packed_mud	15
side_north	8	-1	minecraft:pale_moss_block	430
side_north	8	-1	minecraft:pale_oak_wood	170
side_north	8	-1	minecraft:smooth_basalt	39
side_north	8	-1	minecraft:snow_block	69
side_north	8	-1	minecraft:stone	504
side_north	8	-1	minecraft:white_concrete	3
side_north	8	-1	minecraft:white_concrete_powder	2
side_north	9	-1	minecraft:acacia_wood	391
side_north	9	-1	minecraft:andesite	9
side_north	9	-1	minecraft:basalt	57
side_north	9	-1	minecraft:birch_wood	147
side_north	9	-1	minecraft:blackstone	6
side_north	9	-1	minecraft:cobblestone	63
side_north	9	-1	minecraft:cyan_terracotta	465
side_north	9	-1	minecraft:diorite	111
side_north	9	-1	minecraft:granite	1
side_north	9	-1	minecraft:light_gray_terracotta	2
side_north	9	-1	minecraft:light_gray_wool	6
side_north	9	-1	minecraft:mud	144
side_north	9	-1	minecraft:packed_mud	1
side_north	9	-1	minecraft:pale_moss_block	292
side_north	9	-1	minecraft:pale_oak_wood	54
side_north	9	-1	minecraft:powder_snow	1
side_north	9	-1	minecraft:smooth_basalt	46
side_north	9	-1	minecraft:snow_block	88
side_north	9	-1	minecraft:stone	329
side_north	9	-1	minecraft:white_concrete_powder	120
side_south	0	-1	minecraft:acacia_wood	177
side_south	0	-1	minecraft:andesite	31
side_south	0	-1	minecraft:basalt	76
side_south	0	-1	minecraft:black_wool	2
side_south	0	-1	minecraft:blackstone	46
side_south	0	-1	minecraft:calcite	4
side_south	0	-1	minecraft:cobblestone	172
side_south	0	-1	minecraft:cyan_terracotta	239
side_south	0	-1	minecraft:diamond_block	6
side_south	0	-1	minecraft:dirt	48
side_south	0	-1	minecraft:grass_block	571
side_south	0	-1	minecraft:gray_wool	3
side_south	0	-1	minecraft:light_gray_wool	39
side_south	0	-1	minecraft:moss_block	341
side_south	0	-1	minecraft:mud	327
side_south	0	-1	minecraft:pale_moss_block	330
side_south	0	-1	minecraft:pale_oak_wood	71
side_south	0	-1	minecraft:smooth_basalt	85
side_south	0	-1	minecraft:spruce_log	27
side_south	0	-1	minecraft:stone	409
